region,year,value,ratio
NEG,2020,141.087925,1
NEG,2025,148.130129,1.049913584
NEG,2030,155.119578,1.099453252
NEG,2035,161.3912661,1.14390559
NEG,2040,168.2849229,1.192766305
NEG,2045,175.8305193,1.246247823
NEG,2050,183.9003975,1.303445334
NEG,2075,230.1572784,1.631303873
NY,2020,158.8641305,1
NY,2025,162.906798,1.025447327
NY,2030,165.9596374,1.044663996
NY,2035,167.7341276,1.055833857
NY,2040,174.8987131,1.100932681
NY,2045,182.74086,1.150296542
NY,2050,191.1278936,1.203090295
NY,2075,239.2027229,1.505706305
MID,2020,247.6015787,1
MID,2025,255.9185243,1.033590035
MID,2030,263.3434106,1.063577268
MID,2035,269.3124726,1.087684796
MID,2040,281.465824,1.136769101
MID,2045,293.5178104,1.185444018
MID,2050,305.9025746,1.235462941
MID,2075,376.1200611,1.519053566
ENC,2020,659.1576788,1
ENC,2025,682.3297186,1.035154016
ENC,2030,709.9405041,1.077041999
ENC,2035,734.8481829,1.114829132
ENC,2040,780.6158941,1.184262763
ENC,2045,831.0160716,1.260724252
ENC,2050,885.6129459,1.343552498
ENC,2075,1217.353262,1.846831647
WNC,2020,314.1213365,1
WNC,2025,329.2502931,1.048162779
WNC,2030,345.8599062,1.101039204
WNC,2035,361.7280188,1.151555074
WNC,2040,384.2571124,1.223276065
WNC,2045,409.0665312,1.302256433
WNC,2050,435.9417684,1.387813299
WNC,2075,599.2404876,1.90767203
FL,2020,261.6505145,1
FL,2025,281.9543205,1.077598953
FL,2030,303.7737772,1.160990559
FL,2035,324.9988858,1.242110631
FL,2040,339.6652161,1.298163761
FL,2045,354.2092219,1.35374938
FL,2050,369.1548147,1.410869821
FL,2075,453.8913464,1.734723691
SAC,2020,622.7823694,1
SAC,2025,655.4093958,1.05238913
SAC,2030,689.9055898,1.107779577
SAC,2035,722.391208,1.159941648
SAC,2040,754.9907907,1.212286712
SAC,2045,787.3184766,1.264195191
SAC,2050,820.53879,1.31753696
SAC,2075,1008.886899,1.619967019
ESC,2020,347.9994138,1
ESC,2025,359.6140094,1.033375331
ESC,2030,371.7447245,1.068233766
ESC,2035,382.6225088,1.09949182
ESC,2040,392.069032,1.126637047
ESC,2045,402.23444,1.155848039
ESC,2050,412.7272841,1.18599994
ESC,2075,469.4429415,1.348976242
TX,2020,382.7143056,1
TX,2025,397.6064414,1.038911887
TX,2030,411.1598513,1.074325797
TX,2035,422.1940152,1.103157131
TX,2040,432.6175149,1.130392851
TX,2045,443.8342475,1.159701221
TX,2050,455.4122804,1.189953638
TX,2075,517.9935729,1.353473244
WSC,2020,191.4732676,1
WSC,2025,199.863371,1.043818667
WSC,2030,208.3169952,1.087969082
WSC,2035,215.9059261,1.127603497
WSC,2040,221.2364028,1.15544277
WSC,2045,226.9725311,1.185400625
WSC,2050,232.8934249,1.216323447
WSC,2075,264.8968911,1.383466707
MTN,2020,302.0776671,1
MTN,2025,323.5967175,1.071236813
MTN,2030,345.521102,1.143815448
MTN,2035,370.7983587,1.227493453
MTN,2040,392.3400626,1.298805259
MTN,2045,414.1652089,1.371055374
MTN,2050,436.9182173,1.446377091
MTN,2075,570.8642518,1.889792971
CA,2020,285.6516569,1
CA,2025,300.730027,1.052785866
CA,2030,316.3321067,1.107405118
CA,2035,331.5736999,1.16076239
CA,2040,347.6754958,1.217131031
CA,2045,364.3699976,1.275574599
CA,2050,381.7513509,1.336422673
CA,2075,481.9150024,1.687072316
PAC,2020,167.4787651,1
PAC,2025,176.2066671,1.052113484
PAC,2030,185.2423364,1.106064618
PAC,2035,194.9134044,1.163809658
PAC,2040,204.3787386,1.220326281
PAC,2045,214.1924909,1.278923276
PAC,2050,224.4100044,1.339931091
PAC,2075,283.2905438,1.691501269
