PT,FC,plant_abbr
APC,GAS,ngtb
APC,OIL,ngtb
APC,SUB,col
APC,BIT,col
APC,OTH,oth
APC,COL,col
APC,OGS,ngtb
APC_LG,BIT,col
APC_LG,SUB,col
APC_LG,GAS,ngtb
APC_LG,COL,col
APC_LG,OIL,ngtb
APC_LG,OTH,col
APC_SM,BIT,col
APC_SM,GAS,ngtb
APC_SM,SUB,col
APC_SM,COL,col
APC_SM,OIL,ngtb
APC_SM,OGS,ngtb
APC_SM,OTH,oth
BFB,BMS,bio
BFB,BML,bio
CC,GAS,ngcc
CC,OIL,ngcc
CC,OGS,ngcc
CC,OTH,ngcc
CC_ADV,GAS,ngcc
CC_ADV,OGS,ngcc
CC_ADV,OIL,ngcc
CC_ADV,OTH,ngcc
CT,GAS,ngtb
CT,OIL,ngtb
CT,OGS,ngtb
CT,OTH,ngtb
CT,BML,bio
FC,GAS,oth
FC,OGS,oth
GEO_BI,GEO,geo
GEO_BI,OGS,geo
GEO_DF,GEO,geo
IGCC_SM,BIT,col
IGCC_SM,COL,col
MSW,MSW,msw
MWH,GAS,ngtb
MWH,OTH,oth
NA,SOL,slr
NUC,NUC,nuc
STO,WAT,stog
SUN_PV,SOL,slr
SUN_PV_LG,SOL,slr
SUN_PV_SM,SOL,slr
SUN_th,SOL,slr
WAT,WAT,hyd
WND_off,WND,wnd
WND_on,WND,wnd
