region,plant_type,pollutant,Value
Northeast,col_X1,CO2,92.4
Northeast,col_X2,CO2,92.4
Northeast,col_X3,CO2,92.4
Northeast,col_X1bio,CO2,92.4
Northeast,col_X2bio,CO2,92.4
Northeast,col_X3bio,CO2,92.4
Northeast,col_X1ccs,CO2,92.4
Northeast,col_X2ccs,CO2,92.4
Northeast,col_X3ccs,CO2,92.4
Northeast,ngcc_X1,CO2,53.05666667
Northeast,ngcc_X2,CO2,53.05666667
Northeast,ngcc_X3,CO2,53.05666667
Northeast,ngtb_X1,CO2,53.05666667
Northeast,ngtb_X2,CO2,53.05666667
Northeast,ngtb_X3,CO2,53.05666667
Northeast,stog_X1,CO2,76.89
Northeast,stog_X2,CO2,76.89
Northeast,stog_X3,CO2,76.89
Northeast,col_N,CO2,92.4
Northeast,col_Nccs,CO2,9.24
Northeast,ngcc_N,CO2,53.05666667
Northeast,ngcc_Nccs,CO2,5.305666667
Northeast,ngtb_N,CO2,53.05666667
Midwest,col_X1,CO2,92.4
Midwest,col_X2,CO2,92.4
Midwest,col_X3,CO2,92.4
Midwest,col_X1bio,CO2,92.4
Midwest,col_X2bio,CO2,92.4
Midwest,col_X3bio,CO2,92.4
Midwest,col_X1ccs,CO2,92.4
Midwest,col_X2ccs,CO2,92.4
Midwest,col_X3ccs,CO2,92.4
Midwest,ngcc_X1,CO2,53.05666667
Midwest,ngcc_X2,CO2,53.05666667
Midwest,ngcc_X3,CO2,53.05666667
Midwest,ngtb_X1,CO2,53.05666667
Midwest,ngtb_X2,CO2,53.05666667
Midwest,ngtb_X3,CO2,53.05666667
Midwest,stog_X1,CO2,76.89
Midwest,stog_X2,CO2,76.89
Midwest,stog_X3,CO2,76.89
Midwest,col_N,CO2,92.4
Midwest,col_Nccs,CO2,9.24
Midwest,ngcc_N,CO2,53.05666667
Midwest,ngcc_Nccs,CO2,5.305666667
Midwest,ngtb_N,CO2,53.05666667
South,col_X1,CO2,92.4
South,col_X2,CO2,92.4
South,col_X3,CO2,92.4
South,col_X1bio,CO2,92.4
South,col_X2bio,CO2,92.4
South,col_X3bio,CO2,92.4
South,col_X1ccs,CO2,92.4
South,col_X2ccs,CO2,92.4
South,col_X3ccs,CO2,92.4
South,ngcc_X1,CO2,53.05666667
South,ngcc_X2,CO2,53.05666667
South,ngcc_X3,CO2,53.05666667
South,ngtb_X1,CO2,53.05666667
South,ngtb_X2,CO2,53.05666667
South,ngtb_X3,CO2,53.05666667
South,stog_X1,CO2,76.89
South,stog_X2,CO2,76.89
South,stog_X3,CO2,76.89
South,col_N,CO2,92.4
South,col_Nccs,CO2,9.24
South,ngcc_N,CO2,53.05666667
South,ngcc_Nccs,CO2,5.305666667
South,ngtb_N,CO2,53.05666667
West,col_X1,CO2,92.4
West,col_X2,CO2,92.4
West,col_X3,CO2,92.4
West,col_X1bio,CO2,92.4
West,col_X2bio,CO2,92.4
West,col_X3bio,CO2,92.4
West,col_X1ccs,CO2,92.4
West,col_X2ccs,CO2,92.4
West,col_X3ccs,CO2,92.4
West,ngcc_X1,CO2,53.05666667
West,ngcc_X2,CO2,53.05666667
West,ngcc_X3,CO2,53.05666667
West,ngtb_X1,CO2,53.05666667
West,ngtb_X2,CO2,53.05666667
West,ngtb_X3,CO2,53.05666667
West,stog_X1,CO2,76.89
West,stog_X2,CO2,76.89
West,stog_X3,CO2,76.89
West,col_N,CO2,92.4
West,col_Nccs,CO2,9.24
West,ngcc_N,CO2,53.05666667
West,ngcc_Nccs,CO2,5.305666667
West,ngtb_N,CO2,53.05666667
