"region","plant_type_full","year","Value"
"Midwest","bio_X",2020,9497.18135754545
"Midwest","col_X1",2020,6129.76187884615
"Midwest","col_X2",2020,11030.1902966292
"Midwest","col_X3",2020,17167.7583998077
"Midwest","hyd_X",2020,8844.22841735326
"Midwest","msw_X",2020,12000.7958570588
"Midwest","ngcc_X1",2020,7115.75364057377
"Midwest","ngcc_X2",2020,11269.238715
"Midwest","ngcc_X3",2020,17334.52908
"Midwest","ngtb_X1",2020,8720.66472181388
"Midwest","ngtb_X2",2020,11895.9786783158
"Midwest","ngtb_X3",2020,40349.5545323504
"Midwest","nuc_X",2020,10433.3544894118
"Midwest","oth_X",2020,3923.004213
"Midwest","slr_X",2020,8843.93939041434
"Midwest","stog_X1",2020,0
"Midwest","wnd_X",2020,8844.01826249712
"Northeast","bio_X",2020,12311.2908895714
"Northeast","col_X1",2020,5157.65511522222
"Northeast","col_X2",2020,11168.5589395455
"Northeast","col_X3",2020,20096.5702472093
"Northeast","hyd_X",2020,8844.02531392398
"Northeast","msw_X",2020,19410.726248
"Northeast","ngcc_X1",2020,7674.29850946281
"Northeast","ngcc_X2",2020,12055.15725
"Northeast","ngcc_X3",2020,13478.11457
"Northeast","ngtb_X1",2020,8218.74073252229
"Northeast","ngtb_X2",2020,11752.2745725641
"Northeast","ngtb_X3",2020,35315.9322066667
"Northeast","nuc_X",2020,10429.1130391667
"Northeast","oth_X",2020,7004.05121056863
"Northeast","slr_X",2020,8844.77770160206
"Northeast","stog_X1",2020,0
"Northeast","wnd_X",2020,8847.78833850794
"South","bio_X",2020,9967.27085280851
"South","col_X1",2020,6130.4407281453
"South","col_X2",2020,11037.27605
"South","col_X3",2020,16541.7395454167
"South","hyd_X",2020,8844.03496268595
"South","msw_X",2020,15881.4437495172
"South","ngcc_X1",2020,7226.91574937019
"South","ngcc_X2",2020,11547.63693
"South","ngcc_X3",2020,15844.639745
"South","ngtb_X1",2020,8366.73600217391
"South","ngtb_X2",2020,11866.9455706569
"South","ngtb_X3",2020,147010.701694773
"South","nuc_X",2020,10429.4485195833
"South","oth_X",2020,5779.06769575
"South","slr_X",2020,8844.37301652999
"South","stog_X1",2020,0
"South","wnd_X",2020,8844.00535572894
"West","bio_X",2020,11701.7987901702
"West","col_X1",2020,6446.04331994595
"West","col_X2",2020,11020.25820175
"West","col_X3",2020,19408.8397146154
"West","geo_X",2020,8844.00201296875
"West","hyd_X",2020,8848.32573551979
"West","msw_X",2020,21388.522572
"West","ngcc_X1",2020,7611.74780903497
"West","ngcc_X2",2020,11574.7207533333
"West","ngcc_X3",2020,14584.61305
"West","ngtb_X1",2020,8593.32172701374
"West","ngtb_X2",2020,11869.5149354082
"West","ngtb_X3",2020,30348.9653642424
"West","nuc_X",2020,10429.8552366667
"West","oth_X",2020,7167.3302075567
"West","slr_X",2020,8845.08421231711
"West","stog_X1",2020,0
"West","wnd_X",2020,8843.94650837758
"Northeast","col_N",2020,8373.687963
"Northeast","col_Nccs",2020,11311.56665
"Northeast","ngcc_N",2020,6330.245483
"Northeast","ngcc_Nccs",2020,7280.36979
"Northeast","ngtb_N",2020,9556.081117
"Northeast","nuc_N",2020,10488
"Northeast","bio_N",2020,12897.92085
"Northeast","lfg_N_hi",2020,18000
"Northeast","lfg_N_lo",2020,18000
"Northeast","lfg_N_vl",2020,18000
"Northeast","fc_N",2020,9209.489281
"Northeast","geo_N_1",2020,32969
"Northeast","geo_N_2",2020,32969
"Northeast","geo_N_3",2020,32969
"Northeast","geo_N_4",2020,32969
"Northeast","geo_N_5",2020,32969
"Northeast","geo_N_6",2020,32969
"Northeast","geo_N_7",2020,32969
"Northeast","geo_N_8",2020,32969
"Northeast","geo_N_9",2020,32969
"Northeast","geo_N_10",2020,32969
"Northeast","slrPV_N",2020,9884
"Northeast","slrCSP_N",2020,9884
"Northeast","wnd_Nonsh_3",2020,9884
"Northeast","wnd_Nonsh_4",2020,9884
"Northeast","wnd_Nonsh_5",2020,9884
"Northeast","wnd_Nonsh_6",2020,9884
"Northeast","wnd_Nonsh_7",2020,9884
"Northeast","wnd_Nshal_3",2020,9884
"Northeast","wnd_Nshal_4",2020,9884
"Northeast","wnd_Nshal_5",2020,9884
"Northeast","wnd_Nshal_6",2020,9884
"Northeast","wnd_Nshal_7",2020,9884
"Northeast","wnd_Ndeep_3",2020,9884
"Northeast","wnd_Ndeep_4",2020,9884
"Northeast","wnd_Ndeep_5",2020,9884
"Northeast","wnd_Ndeep_6",2020,9884
"Northeast","wnd_Ndeep_7",2020,9884
"Midwest","col_N",2020,8373.687963
"Midwest","col_Nccs",2020,11311.56665
"Midwest","ngcc_N",2020,6330.245483
"Midwest","ngcc_Nccs",2020,7280.36979
"Midwest","ngtb_N",2020,9556.081117
"Midwest","nuc_N",2020,10488
"Midwest","bio_N",2020,12897.92085
"Midwest","lfg_N_hi",2020,18000
"Midwest","lfg_N_lo",2020,18000
"Midwest","lfg_N_vl",2020,18000
"Midwest","fc_N",2020,9209.489281
"Midwest","geo_N_1",2020,32969
"Midwest","geo_N_2",2020,32969
"Midwest","geo_N_3",2020,32969
"Midwest","geo_N_4",2020,32969
"Midwest","geo_N_5",2020,32969
"Midwest","geo_N_6",2020,32969
"Midwest","geo_N_7",2020,32969
"Midwest","geo_N_8",2020,32969
"Midwest","geo_N_9",2020,32969
"Midwest","geo_N_10",2020,32969
"Midwest","slrPV_N",2020,9884
"Midwest","slrCSP_N",2020,9884
"Midwest","wnd_Nonsh_3",2020,9884
"Midwest","wnd_Nonsh_4",2020,9884
"Midwest","wnd_Nonsh_5",2020,9884
"Midwest","wnd_Nonsh_6",2020,9884
"Midwest","wnd_Nonsh_7",2020,9884
"Midwest","wnd_Nshal_3",2020,9884
"Midwest","wnd_Nshal_4",2020,9884
"Midwest","wnd_Nshal_5",2020,9884
"Midwest","wnd_Nshal_6",2020,9884
"Midwest","wnd_Nshal_7",2020,9884
"Midwest","wnd_Ndeep_3",2020,9884
"Midwest","wnd_Ndeep_4",2020,9884
"Midwest","wnd_Ndeep_5",2020,9884
"Midwest","wnd_Ndeep_6",2020,9884
"Midwest","wnd_Ndeep_7",2020,9884
"South","col_N",2020,8373.687963
"South","col_Nccs",2020,11311.56665
"South","ngcc_N",2020,6330.245483
"South","ngcc_Nccs",2020,7280.36979
"South","ngtb_N",2020,9556.081117
"South","nuc_N",2020,10488
"South","bio_N",2020,12897.92085
"South","lfg_N_hi",2020,18000
"South","lfg_N_lo",2020,18000
"South","lfg_N_vl",2020,18000
"South","fc_N",2020,9209.489281
"South","geo_N_1",2020,32969
"South","geo_N_2",2020,32969
"South","geo_N_3",2020,32969
"South","geo_N_4",2020,32969
"South","geo_N_5",2020,32969
"South","geo_N_6",2020,32969
"South","geo_N_7",2020,32969
"South","geo_N_8",2020,32969
"South","geo_N_9",2020,32969
"South","geo_N_10",2020,32969
"South","slrPV_N",2020,9884
"South","slrCSP_N",2020,9884
"South","wnd_Nonsh_3",2020,9884
"South","wnd_Nonsh_4",2020,9884
"South","wnd_Nonsh_5",2020,9884
"South","wnd_Nonsh_6",2020,9884
"South","wnd_Nonsh_7",2020,9884
"South","wnd_Nshal_3",2020,9884
"South","wnd_Nshal_4",2020,9884
"South","wnd_Nshal_5",2020,9884
"South","wnd_Nshal_6",2020,9884
"South","wnd_Nshal_7",2020,9884
"South","wnd_Ndeep_3",2020,9884
"South","wnd_Ndeep_4",2020,9884
"South","wnd_Ndeep_5",2020,9884
"South","wnd_Ndeep_6",2020,9884
"South","wnd_Ndeep_7",2020,9884
"West","col_N",2020,8373.687963
"West","col_Nccs",2020,11311.56665
"West","ngcc_N",2020,6330.245483
"West","ngcc_Nccs",2020,7280.36979
"West","ngtb_N",2020,9556.081117
"West","nuc_N",2020,10488
"West","bio_N",2020,12897.92085
"West","lfg_N_hi",2020,18000
"West","lfg_N_lo",2020,18000
"West","lfg_N_vl",2020,18000
"West","fc_N",2020,9209.489281
"West","geo_N_1",2020,32969
"West","geo_N_2",2020,32969
"West","geo_N_3",2020,32969
"West","geo_N_4",2020,32969
"West","geo_N_5",2020,32969
"West","geo_N_6",2020,32969
"West","geo_N_7",2020,32969
"West","geo_N_8",2020,32969
"West","geo_N_9",2020,32969
"West","geo_N_10",2020,32969
"West","slrPV_N",2020,9884
"West","slrCSP_N",2020,9884
"West","wnd_Nonsh_3",2020,9884
"West","wnd_Nonsh_4",2020,9884
"West","wnd_Nonsh_5",2020,9884
"West","wnd_Nonsh_6",2020,9884
"West","wnd_Nonsh_7",2020,9884
"West","wnd_Nshal_3",2020,9884
"West","wnd_Nshal_4",2020,9884
"West","wnd_Nshal_5",2020,9884
"West","wnd_Nshal_6",2020,9884
"West","wnd_Nshal_7",2020,9884
"West","wnd_Ndeep_3",2020,9884
"West","wnd_Ndeep_4",2020,9884
"West","wnd_Ndeep_5",2020,9884
"West","wnd_Ndeep_6",2020,9884
"West","wnd_Ndeep_7",2020,9884
