region,load_segment,Value
Northeast,sum_day,1610
Northeast,sum_mrnevn,1209
Northeast,sum_night,765
Northeast,sprfl_day,728
Northeast,sprfl_mrnevn,1001
Northeast,sprfl_night,455
Northeast,wntr_day,968
Northeast,wntr_mrnevn,1331
Northeast,wntr_night,605
Northeast,peak,88
Midwest,sum_day,1605
Midwest,sum_mrnevn,1214
Midwest,sum_night,765
Midwest,sprfl_day,728
Midwest,sprfl_mrnevn,1001
Midwest,sprfl_night,455
Midwest,wntr_day,968
Midwest,wntr_mrnevn,1331
Midwest,wntr_night,605
Midwest,peak,88
South,sum_day,1607
South,sum_mrnevn,1212
South,sum_night,765
South,sprfl_day,728
South,sprfl_mrnevn,1001
South,sprfl_night,455
South,wntr_day,968
South,wntr_mrnevn,1331
South,wntr_night,605
South,peak,88
West,sum_day,1597
West,sum_mrnevn,1222
West,sum_night,765
West,sprfl_day,728
West,sprfl_mrnevn,1001
West,sprfl_night,455
West,wntr_day,968
West,wntr_mrnevn,1331
West,wntr_night,605
West,peak,88
