"region","plant_type_full","Value"
"Midwest","bio_X",5.66745155280689
"Midwest","col_X1",8.49143006880478
"Midwest","col_X2",9.55832950377713
"Midwest","col_X3",8.07609016892167
"Midwest","hyd_X",0
"Midwest","msw_X",1.24597062553663
"Midwest","ngcc_X1",2.2660885935969
"Midwest","ngcc_X2",2.20523771904944
"Midwest","ngcc_X3",2.20523771888615
"Midwest","ngtb_X1",4.77969096759293
"Midwest","ngtb_X2",4.77799107943615
"Midwest","ngtb_X3",4.7658504262628
"Midwest","nuc_X",2.55753988219263
"Midwest","oth_X",3.60616806577746
"Midwest","slr_X",0
"Midwest","stog_X1",0
"Midwest","stog_X2",0
"Midwest","wnd_X",0
"Northeast","bio_X",5.42427740847209
"Northeast","col_X1",3.41793171466145
"Northeast","col_X2",8.47337451198005
"Northeast","col_X3",6.4091953364401
"Northeast","hyd_X",0
"Northeast","msw_X",2.79256838739048
"Northeast","ngcc_X1",2.26338582928882
"Northeast","ngcc_X2",2.19964142082594
"Northeast","ngcc_X3",2.22214064218193
"Northeast","ngtb_X1",4.77773779666362
"Northeast","ngtb_X2",4.78362129184378
"Northeast","ngtb_X3",4.76643731894764
"Northeast","nuc_X",2.55753988214659
"Northeast","oth_X",0.535874736773521
"Northeast","slr_X",0
"Northeast","stog_X1",0
"Northeast","stog_X2",0
"Northeast","wnd_X",0
"South","bio_X",5.80249803798986
"South","col_X1",8.71312666098495
"South","col_X2",9.40508953675046
"South","col_X3",6.81635757303657
"South","hyd_X",0
"South","msw_X",3.703771430189
"South","ngcc_X1",2.24414345089399
"South","ngcc_X2",2.36201980292905
"South","ngcc_X3",2.2055859127281
"South","ngtb_X1",4.77291280162922
"South","ngtb_X2",4.76968294074441
"South","ngtb_X3",4.77310313032283
"South","nuc_X",2.55753988213996
"South","oth_X",2.38930320917619
"South","slr_X",0.00281749766762624
"South","stog_X1",0
"South","stog_X2",0
"South","wnd_X",0
"West","bio_X",5.33462445952974
"West","col_X1",6.56320279714735
"West","col_X2",9.4425822273063
"West","col_X3",7.33732256154955
"West","geo_X",0
"West","hyd_X",0
"West","msw_X",3.74317802159357
"West","ngcc_X1",2.25664296578408
"West","ngcc_X2",2.20842441032111
"West","ngcc_X3",2.20523771924209
"West","ngtb_X1",4.78294595174214
"West","ngtb_X2",4.77137315748667
"West","ngtb_X3",4.77611833199638
"West","nuc_X",2.55753988218271
"West","oth_X",0.465408482119706
"West","slr_X",0.170137768067392
"West","stog_X1",0
"West","stog_X2",0
"West","wnd_X",0
"South","col_N",6.87
"South","col_Nccs",9.05
"South","ngcc_N",3.11
"South","ngcc_Nccs",6.45
"South","ngtb_N",9.87
"South","nuc_N",2.04
"South","bio_N",5
"South","lfg_N_hi",8.33
"South","lfg_N_lo",8.33
"South","lfg_N_vl",8.33
"South","fc_N",48.99732548
"South","geo_N_1",9.64
"South","geo_N_2",9.64
"South","geo_N_3",9.64
"South","geo_N_4",9.64
"South","geo_N_5",9.64
"South","geo_N_6",9.64
"South","geo_N_7",9.64
"South","geo_N_8",9.64
"South","geo_N_9",9.64
"South","geo_N_10",9.64
"Midwest","col_N",6.87
"Midwest","col_Nccs",9.05
"Midwest","ngcc_N",3.11
"Midwest","ngcc_Nccs",6.45
"Midwest","ngtb_N",9.87
"Midwest","nuc_N",2.04
"Midwest","bio_N",5
"Midwest","lfg_N_hi",8.33
"Midwest","lfg_N_lo",8.33
"Midwest","lfg_N_vl",8.33
"Midwest","fc_N",48.99732548
"Midwest","geo_N_1",9.64
"Midwest","geo_N_2",9.64
"Midwest","geo_N_3",9.64
"Midwest","geo_N_4",9.64
"Midwest","geo_N_5",9.64
"Midwest","geo_N_6",9.64
"Midwest","geo_N_7",9.64
"Midwest","geo_N_8",9.64
"Midwest","geo_N_9",9.64
"Midwest","geo_N_10",9.64
"Northeast","col_N",6.87
"Northeast","col_Nccs",9.05
"Northeast","ngcc_N",3.11
"Northeast","ngcc_Nccs",6.45
"Northeast","ngtb_N",9.87
"Northeast","nuc_N",2.04
"Northeast","bio_N",5
"Northeast","lfg_N_hi",8.33
"Northeast","lfg_N_lo",8.33
"Northeast","lfg_N_vl",8.33
"Northeast","fc_N",48.99732548
"Northeast","geo_N_1",9.64
"Northeast","geo_N_2",9.64
"Northeast","geo_N_3",9.64
"Northeast","geo_N_4",9.64
"Northeast","geo_N_5",9.64
"Northeast","geo_N_6",9.64
"Northeast","geo_N_7",9.64
"Northeast","geo_N_8",9.64
"Northeast","geo_N_9",9.64
"Northeast","geo_N_10",9.64
"West","col_N",6.87
"West","col_Nccs",9.05
"West","ngcc_N",3.11
"West","ngcc_Nccs",6.45
"West","ngtb_N",9.87
"West","nuc_N",2.04
"West","bio_N",5
"West","lfg_N_hi",8.33
"West","lfg_N_lo",8.33
"West","lfg_N_vl",8.33
"West","fc_N",48.99732548
"West","geo_N_1",9.64
"West","geo_N_2",9.64
"West","geo_N_3",9.64
"West","geo_N_4",9.64
"West","geo_N_5",9.64
"West","geo_N_6",9.64
"West","geo_N_7",9.64
"West","geo_N_8",9.64
"West","geo_N_9",9.64
"West","geo_N_10",9.64
