unit,gen_type
col_X1,COAL
col_X2,COAL
col_X3,COAL
col_X1bio,COAL
col_X2bio,COAL
col_X3bio,COAL
col_X1ccs,COAL
col_X2ccs,COAL
col_X3ccs,COAL
ngcc_X1,GAS
ngcc_X2,GAS
ngcc_X3,GAS
ngtb_X1,GAS
ngtb_X2,GAS
ngtb_X3,GAS
stog_X1,GAS
stog_X2,GAS
stog_X3,GAS
nuc_X,NUCLEAR
hyd_X,RENEW
geo_X,RENEW
bio_X,OTHER
lfg_X,OTHER
msw_X,OTHER
slr_X,RENEW
wnd_X,RENEW
oth_X,OTHER
ps_X,OTHER
col_N,COAL
col_Nccs,COAL
ngcc_N,GAS
ngcc_Nccs,GAS
ngtb_N,GAS
nuc_N,NUCLEAR
bio_N,OTHER
lfg_N_hi,OTHER
lfg_N_lo,OTHER
lfg_N_vl,OTHER
geo_N_1,RENEW
geo_N_2,RENEW
geo_N_3,RENEW
geo_N_4,RENEW
geo_N_5,RENEW
geo_N_6,RENEW
geo_N_7,RENEW
geo_N_8,RENEW
geo_N_9,RENEW
geo_N_10,RENEW
fc_N,OTHER
slrPV_N,RENEW
slrCSP_N,RENEW
wnd_Nonsh_3,RENEW
wnd_Nonsh_4,RENEW
wnd_Nonsh_5,RENEW
wnd_Nonsh_6,RENEW
wnd_Nonsh_7,RENEW
wnd_Nshal_3,RENEW
wnd_Nshal_4,RENEW
wnd_Nshal_5,RENEW
wnd_Nshal_6,RENEW
wnd_Nshal_7,RENEW
wnd_Ndeep_3,RENEW
wnd_Ndeep_4,RENEW
wnd_Ndeep_5,RENEW
wnd_Ndeep_6,RENEW
wnd_Ndeep_7,RENEW
